garden_area,terrace_area,locality,type_of_property,subtype_of_property,type_of_sale,zip_code,url,state_of_the_building,terrace,open_fire,swimming_pool,price,garden,number_of_facades,number_of_rooms,fully_equipped_kitchen,area,furnished,surface_of_the_land,area_text,bid,equipped_kitchen
0,2,saint-gilles,apartment,apartment,for-sale,1060,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/10013186?searchId=633aeaf0f074c,not mentioned,1,0,0,190000,0,,2,Installed,65,0,0,numeric,0,1.0
0,0,charleroi,apartment,apartment,for-sale,6000,https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/9831780?searchId=633aeaf0f074c,as new,0,0,0,195000,0,,2,,121,,0,numeric,0,
0,0,waregem,apartment,apartment,for-sale,8790,https://www.immoweb.be/en/classified/apartment/for-sale/waregem/8790/10009262?searchId=633aeaf0f074c,as new,0,0,0,195000,0,,2,,80,0,0,numeric,0,
0,10,aalst,apartment,ground-floor,for-sale,9300,https://www.immoweb.be/en/classified/ground-floor/for-sale/aalst/9300/9928907?searchId=633aeaf0f074c,as new,1,0,0,195000,0,3,1,Hyper equipped,85,,0,numeric,0,1.0
0,0,denderleeuw,apartment,apartment,for-sale,9470,https://www.immoweb.be/en/classified/apartment/for-sale/denderleeuw/9470/10045432?searchId=633aeaf0f074c,to rebuild,0,0,0,195000,0,2,2,USA hyper equipped,86,,0,numeric,0,1.0
0,0,nazareth,apartment,apartment,for-sale,9810,https://www.immoweb.be/en/classified/apartment/for-sale/nazareth/9810/9960206?searchId=633aeaf0f074c,just renovated,0,0,0,198000,0,,3,,85,0,0,numeric,0,
0,3,drogenbos,apartment,apartment,for-sale,1620,https://www.immoweb.be/en/classified/apartment/for-sale/drogenbos/1620/9865967?searchId=633aeaf0f074c,as new,1,0,0,199000,0,,1,USA installed,70,0,0,numeric,0,1.0
0,0,zeebrugge,apartment,apartment,for-sale,8380,https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/10074116?searchId=633aeaf0f074c,not mentioned,0,0,0,199000,0,2,2,Installed,62,,0,numeric,0,1.0
0,13,eeklo,apartment,service-flat,for-sale,9900,https://www.immoweb.be/en/classified/service-flat/for-sale/eeklo/9900/9788230?searchId=633aeaf0f074c,as new,1,0,0,199000,0,4,1,Installed,67,0,0,numeric,0,1.0
0,0,knesselare,apartment,apartment,for-sale,9910,https://www.immoweb.be/en/classified/apartment/for-sale/knesselare/9910/10083288?searchId=633aeaf0f074c,as new,0,0,0,200000,0,,4,,164,,0,numeric,0,
0,10,eeklo,apartment,service-flat,for-sale,9900,https://www.immoweb.be/en/classified/service-flat/for-sale/eeklo/9900/8674083?searchId=633aeaf0f074c,as new,1,0,0,202500,0,4,1,Installed,74,0,0,numeric,0,1.0
0,5,antwerp,apartment,apartment,for-sale,2020,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2020/9873613?searchId=633aeaf0f074c,not mentioned,1,0,0,204000,0,2,3,,92,0,0,numeric,0,
0,12,antwerpen,apartment,apartment,for-sale,2600,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2600/10106918?searchId=633aeaf0f074c,as new,1,0,0,209000,0,1,1,,67,0,0,numeric,0,
0,0,nivelles,apartment,apartment,for-sale,1400,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/9955849?searchId=633aeaf0f074c,good,0,0,0,210000,0,2,2,Installed,80,0,0,numeric,0,1.0
0,0,oostende,apartment,apartment,for-sale,8400,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10083468?searchId=633aeaf0f074c,not mentioned,0,0,0,210000,0,,2,,104,,0,numeric,0,
50,0,liege,apartment,apartment,for-sale,4020,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/9915326?searchId=633aeaf0f074c,not mentioned,0,0,0,212000,1,3,3,,,0,0,na,0,
0,0,roeselare,apartment,apartment,for-sale,8800,https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/8813879?searchId=633aeaf0f074c,good,0,0,0,212000,0,2,2,,110,0,0,numeric,0,
0,0,brugge,apartment,apartment,for-sale,8000,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/10072557?searchId=633aeaf0f074c,good,0,0,0,215000,0,2,2,Installed,80,0,0,numeric,0,1.0
0,13,eeklo,apartment,service-flat,for-sale,9900,https://www.immoweb.be/en/classified/service-flat/for-sale/eeklo/9900/8674086?searchId=633aeaf0f074c,as new,1,0,0,217500,0,4,2,Installed,85,0,0,numeric,0,1.0
0,0,molenbeek-saint-jean,apartment,apartment,bid,1080,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/9981520?searchId=633aeaf0f074c,good,0,0,0,219000,0,,2,Installed,86,,0,numeric,1,1.0
0,3,antwerp,apartment,apartment,for-sale,2060,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2060/10080446?searchId=633aeaf0f074c,as new,1,0,0,219000,0,2,1,Installed,,,0,na,0,1.0
0,0,ninove,apartment,ground-floor,for-sale,9400,https://www.immoweb.be/en/classified/ground-floor/for-sale/ninove/9400/9809278?searchId=633aeaf0f074c,good,0,0,0,219000,0,3,2,,78,0,0,numeric,0,
0,0,meerbeke,apartment,ground-floor,for-sale,9402,https://www.immoweb.be/en/classified/ground-floor/for-sale/meerbeke/9402/9809280?searchId=633aeaf0f074c,good,0,0,0,219000,0,3,2,,78,0,0,numeric,0,
0,0,sint-andries,apartment,apartment,for-sale,8200,https://www.immoweb.be/en/classified/apartment/for-sale/sint-andries/8200/10092167?searchId=633aeaf0f074c,good,0,0,0,220000,0,2,,,93,0,0,numeric,0,
0,0,edegem,apartment,apartment,for-sale,2650,https://www.immoweb.be/en/classified/apartment/for-sale/edegem/2650/10001223?searchId=633aeaf0f074c,good,0,0,0,224500,0,,2,,,,0,na,0,
0,0,ottignies-louvain-la-neuve,apartment,ground-floor,bid,1340,https://www.immoweb.be/en/classified/ground-floor/for-sale/ottignies-louvain-la-neuve/1340/9991342?searchId=633aeaf0f074c,good,0,0,0,225000,0,2,3,,59,0,0,numeric,1,
0,8,eeklo,apartment,service-flat,for-sale,9900,https://www.immoweb.be/en/classified/service-flat/for-sale/eeklo/9900/8674084?searchId=633aeaf0f074c,as new,1,0,0,227500,0,4,1,Installed,85,0,0,numeric,0,1.0
0,0,antwerpen,apartment,apartment,for-sale,2018,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/10057096?searchId=633aeaf0f074c,just renovated,0,0,0,229000,0,2,1,Hyper equipped,50,,0,numeric,0,1.0
0,0,forest,apartment,apartment,for-sale,1190,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10118637?searchId=633aeaf0f074c,not mentioned,0,0,0,230000,0,,1,Not installed,70,,0,numeric,0,0.0
0,0,tielt,apartment,service-flat,for-sale,8700,https://www.immoweb.be/en/classified/service-flat/for-sale/tielt/8700/9521510?searchId=633aeaf0f074c,good,0,0,0,230000,0,,2,,70,0,0,numeric,0,
0,0,halle,apartment,apartment,for-sale,1500,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/9262001?searchId=633aeaf0f074c,not mentioned,0,0,0,235000,0,,1,,83,0,0,numeric,0,
0,0,woluwe-saint-pierre,apartment,apartment,for-sale,1150,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/9933615?searchId=633aeaf0f074c,as new,0,0,0,240000,0,,1,,65,0,0,numeric,0,
0,0,hamme-moerzeke,apartment,apartment,for-sale,9220,https://www.immoweb.be/en/classified/apartment/for-sale/hamme-moerzeke/9220/9888214?searchId=633aeaf0f074c,as new,0,0,0,247000,0,,1,Hyper equipped,81,0,0,numeric,0,1.0
0,11,deurne,apartment,apartment,for-sale,2100,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/10044893?searchId=633aeaf0f074c,as new,1,0,0,249000,0,2,2,,70,,0,numeric,0,
0,0,knokke-heist,apartment,flat-studio,for-sale,8300,https://www.immoweb.be/en/classified/flat-studio/for-sale/knokke-heist/8300/9934366?searchId=633aeaf0f074c,not mentioned,0,0,0,249000,0,,1,,34,,0,numeric,0,
0,0,koksijde,apartment,apartment,for-sale,8670,https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10053888?searchId=633aeaf0f074c,not mentioned,0,0,0,249000,0,,2,,101,1,0,numeric,0,
0,0,nieuwpoort,apartment,apartment,for-sale,8620,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10022536?searchId=633aeaf0f074c,as new,0,0,0,250000,0,,1,Hyper equipped,,0,0,na,0,1.0
0,0,ninove,apartment,apartment,for-sale,9400,https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/10105338?searchId=633aeaf0f074c,good,0,0,0,,0,,2,Installed,,,0,na,0,1.0
0,48,liege,apartment,apartment,for-sale,4020,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/10024611?searchId=633aeaf0f074c,good,1,0,0,254000,0,4,2,USA installed,100,,0,numeric,0,1.0
0,0,deinze,apartment,apartment,for-sale,9800,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/9948141?searchId=633aeaf0f074c,as new,0,0,0,259000,0,,2,,78,,0,numeric,0,
0,14,kapellen,apartment,apartment,for-sale,2950,https://www.immoweb.be/en/classified/apartment/for-sale/kapellen/2950/9729392?searchId=633aeaf0f074c,as new,1,0,0,259080,0,,1,Installed,66,,0,numeric,0,1.0
0,9,antwerp,apartment,apartment,for-sale,2060,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2060/10037569?searchId=633aeaf0f074c,as new,1,0,0,260000,0,,1,,76,,0,numeric,0,
0,9,borgerhout,apartment,apartment,for-sale,2140,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10073780?searchId=633aeaf0f074c,as new,1,0,0,260000,0,,1,,76,,0,numeric,0,
0,7,aalst,apartment,apartment,for-sale,9300,https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/10089127?searchId=633aeaf0f074c,good,1,0,0,260000,0,2,3,USA installed,,,0,na,0,1.0
0,6,brussels-city,apartment,apartment,for-sale,1000,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/10107280?searchId=633aeaf0f074c,as new,1,0,0,265000,0,4,1,Hyper equipped,66,0,0,numeric,0,1.0
0,2,leuven,apartment,apartment,for-sale,3001,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3001/10093012?searchId=633aeaf0f074c,not mentioned,1,0,0,265000,0,,3,,100,0,0,numeric,0,
0,0,gent,apartment,apartment,for-sale,9000,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/9915554?searchId=633aeaf0f074c,as new,0,0,0,265000,0,,2,,75,,0,numeric,0,
0,0,blankenberge,apartment,apartment,for-sale,8370,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10020328?searchId=633aeaf0f074c,as new,0,0,0,270000,0,,3,,111,0,0,numeric,0,
0,0,merelbeke,apartment,service-flat,for-sale,9820,https://www.immoweb.be/en/classified/service-flat/for-sale/merelbeke/9820/9983232?searchId=633aeaf0f074c,as new,0,0,0,270000,0,,1,,67,0,0,numeric,0,
0,0,halle,apartment,apartment,for-sale,1500,https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/9261482?searchId=633aeaf0f074c,not mentioned,0,0,0,271500,0,,2,,95,0,0,numeric,0,
0,37,sint-amandsberg,apartment,duplex,for-sale,9040,https://www.immoweb.be/en/classified/duplex/for-sale/sint-amandsberg/9040/10057992?searchId=633aeaf0f074c,to rebuild,1,0,0,274000,0,,3,,104,0,0,numeric,0,
0,6,uccle,apartment,apartment,bid,1180,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10078975?searchId=633aeaf0f074c,as new,1,0,0,275000,0,2,2,Installed,90,0,0,numeric,1,1.0
0,21,borgerhout,apartment,apartment,for-sale,2140,https://www.immoweb.be/en/classified/apartment/for-sale/borgerhout/2140/10067411?searchId=633aeaf0f074c,as new,1,0,0,275000,0,2,2,Hyper equipped,74,0,0,numeric,0,1.0
