garden_area,terrace_area,locality,type_of_property,subtype_of_property,type_of_sale,zip_code,url,state_of_the_building,terrace,open_fire,swimming_pool,price,garden,number_of_facades,number_of_rooms,fully_equipped_kitchen,area,furnished,surface_of_the_land,area_text,bid,equipped_kitchen
275,25,wanze,house,house,bid,4520,https://www.immoweb.be/en/classified/house/for-sale/wanze/4520/10070002?searchId=633aeaf1e42e4,to rebuild,1,0,0,139500,1,4,4,Not installed,150,0,345,numeric,1,0.0
147,36,herstal,house,house,bid,4040,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/9977119?searchId=633aeaf1e42e4,to renovate,1,0,0,149000,1,3,4,Not installed,134,0,222,numeric,1,0.0
37,0,tilleur,house,house,bid,4420,https://www.immoweb.be/en/classified/house/for-sale/tilleur/4420/10075923?searchId=633aeaf1e42e4,good,0,0,0,149000,1,2,2,Semi equipped,87,0,107,numeric,1,1.0
0,250,clavier,house,farmhouse,for-sale,4560,https://www.immoweb.be/en/classified/farmhouse/for-sale/clavier/4560/9601088?searchId=633aeaf1e42e4,to renovate,1,0,0,149000,0,3,5,Not installed,300,0,581,numeric,0,0.0
224,92,verviers,house,house,bid,4800,https://www.immoweb.be/en/classified/house/for-sale/verviers/4800/10019077?searchId=633aeaf1e42e4,to renovate,1,0,0,149000,1,4,3,Not installed,117,0,476,numeric,1,0.0
60,10,libramont-chevigny,house,house,for-sale,6800,https://www.immoweb.be/en/classified/house/for-sale/libramont-chevigny/6800/10087889?searchId=633aeaf1e42e4,to renovate,1,0,0,149000,1,3,1,Not installed,60,0,158,numeric,0,0.0
290,0,beho,house,house,for-sale,6672,https://www.immoweb.be/en/classified/house/for-sale/beho/6672/10091676?searchId=633aeaf1e42e4,to rebuild,0,0,0,155000,1,3,3,Semi equipped,176,0,480,numeric,0,1.0
230,0,ronse,house,house,for-sale,9600,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10099203?searchId=633aeaf1e42e4,to rebuild,0,0,0,159000,1,2,2,Semi equipped,145,0,300,numeric,0,1.0
120,24,seraing-jemeppesur-meuse,house,house,for-sale,4101,https://www.immoweb.be/en/classified/house/for-sale/seraing-jemeppesur-meuse/4101/10078050?searchId=633aeaf1e42e4,to rebuild,1,0,0,165000,1,2,2,Semi equipped,100,0,235,numeric,0,1.0
66,29,liege,house,house,bid,4020,https://www.immoweb.be/en/classified/house/for-sale/liege/4020/10036307?searchId=633aeaf1e42e4,good,1,0,0,169000,1,2,3,Not installed,97,0,168,numeric,1,0.0
0,100,seraing-ougree,house,house,bid,4100,https://www.immoweb.be/en/classified/house/for-sale/seraing-ougree/4100/9846452?searchId=633aeaf1e42e4,good,1,0,0,169000,0,3,3,Semi equipped,134,0,122,numeric,1,1.0
56,10,ronse,house,house,for-sale,9600,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10004225?searchId=633aeaf1e42e4,good,1,0,0,185000,1,2,2,Hyper equipped,138,0,140,numeric,0,1.0
